0 -104050
1 -104159
2 -105042
3 -103050
4 -104712
5 -105450
6 -105950
7 -104550
8 -104957
9 -104850
10 -105150
11 -104350
12 -105486
13 -105547
14 -104950
15 -105711
100 -25650
101 -24581.2
#102 -195050
102 -245050
103 -27409.6
104 -25050
105 -21350
106 -22891.3
107 -20739
108 -26650
109 -27250
110 -29210.5
111 -22750
112 -25896.9
113 -23750
114 -18050
115 -19350
200 -94794.9
201 -94950
202 -95750
203 -92576.7
204 -91559.2
205 -90865.2
206 -89911.1
207 -92250
208 -91200.8
209 -90192.2
210 -89766.8
211 -85107.8
212 -85978.1
213 -40045.2
214 -40146.9
300 -175550
301 -177550
302 -176850
303 -175650
304 -176250
305 -174850
306 -171807
307 -170050
308 -168350
309 -169175
310 -169650
311 -170914
312 -174850
313 -165150
314 -166312
400 -121350
401 -143853
402 -114550
403 -139120
404 -143850
405 -142480
406 -122437
407 -118460
408 -140050
409 -139014
410 -140462
411 -139130
412 -135237
413 -121813
414 -112250
500 -158150
501 -163450
502 -169150
503 -162650
504 -159650
505 -136008
506 -166535
507 -167719
508 -164102
509 -158563
512 -153282
513 -157950
515 -172430
516 -178950
517 -181303
518 -172926
519 -175450
520 -172881
521 -170663
522 -170054
600 -15924.1
601 -18950
602 -15746.4
603 -23950
604 -19450
605 -14950
606 -14755.7
607 -12057.3
608 -20950
609 -18220.6
611 -20350
612 -13450
613 -17592.7
614 -11865
615 -25050
616 -25696.5
617 -40782.4
618 -13950
619 -12605.3
620 -7405.12
621 -11950
622 -14050
623 -17604.5
624 -21960.2
